cuit,razon_social,localidad,provincia,rubro,whatsapp
30-12345678-9,Constructora del Sur S.A.,Comodoro Rivadavia,Chubut,construccion,+5491157016249
20-23456789-0,Limpieza Total,Comodoro Rivadavia,Chubut,limpieza,+5492974234567
33-34567890-1,Servicios Generales Patagonia S.R.L.,Rada Tilly,Chubut,servicios,+5492974345678
30-45678901-2,Tecnología y Sistemas del Sur,Comodoro Rivadavia,Chubut,informatica,+5492974456789
20-56789012-3,Alimentos del Mar S.A.,Comodoro Rivadavia,Chubut,alimentacion,+5492974567890
33-67890123-4,Papelería Municipal,Comodoro Rivadavia,Chubut,libreria,+5492974678901
30-78901234-5,Transportes Patagónicos S.A.,Comodoro Rivadavia,Chubut,transporte,+5492974789012
20-89012345-6,Ferretería Industrial,Comodoro Rivadavia,Chubut,ferreteria,+5492974890123
33-90123456-7,Equipos Médicos del Sur,Comodoro Rivadavia,Chubut,salud,+5492974901234
30-01234567-8,Construcciones y Reformas CR,Rada Tilly,Chubut,construccion,+5492975012345
